Journal Title,ISSN,Rank,Field
Accounting Review,0001-4826,4*,ACCOUNT
"Accounting, Organizations and Society",0361-3682,4*,ACCOUNT
Journal of Accounting and Economics,0165-4101,4*,ACCOUNT
Journal of Accounting Research,0021-8456,4*,ACCOUNT
Contemporary Accounting Research,0823-9150,4,ACCOUNT
Review of Accounting Studies,1380-6653,4,ACCOUNT
Abacus,0001-3072,3,ACCOUNT
Accounting and Business Research,0001-4788,3,ACCOUNT
Accounting Forum,0155-9982,3,ACCOUNT
Accounting Horizons,0888-7993,3,ACCOUNT
"Accounting, Auditing and Accountability Journal",0951-3574,3,ACCOUNT
Auditing,0278-0380,3,ACCOUNT
Behavioral Research in Accounting,1050-4753,3,ACCOUNT
British Accounting Review,0890-8389,3,ACCOUNT
British Tax Review,0007-1870,3,ACCOUNT
Critical Perspectives on Accounting,1045-2354,3,ACCOUNT
European Accounting Review,0963-8180,3,ACCOUNT
Financial Accountability and Management,0267-4424,3,ACCOUNT
Foundations and Trends in Accounting,1554-0642,3,ACCOUNT
International Journal of Accounting,1094-4060,3,ACCOUNT
Journal of Accounting and Public Policy,0278-4254,3,ACCOUNT
Journal of Accounting Literature,0737-4607,3,ACCOUNT
"Journal of Accounting, Auditing and Finance",0148-558X,3,ACCOUNT
Journal of Business Finance and Accounting,0306-686X,3,ACCOUNT
Journal of Financial Reporting,2380-2154,3,ACCOUNT
"Journal of International Accounting, Auditing and Taxation",1061-9518,3,ACCOUNT
Journal of the American Taxation Association,0198-9073,3,ACCOUNT
Management Accounting Research,1044-5005,3,ACCOUNT
Accounting and Finance,0810-5391,2,ACCOUNT
Accounting and the Public Interest,1530-9320,2,ACCOUNT
Accounting in Europe,1744-9480,2,ACCOUNT
Accounting Research Journal,1030-9616,2,ACCOUNT
"Accounting, Economics and Law: A Convivium",,2,ACCOUNT
Advances in Accounting,0882-6110,2,ACCOUNT
Advances in Accounting Behavioral Research,1475-1488,2,ACCOUNT
Advances in Management Accounting,1474-7871,2,ACCOUNT
Advances in Taxation,1058-7497,2,ACCOUNT
Asia-Pacific Journal of Accounting and Economics,1608-1625,2,ACCOUNT
Asian Review of Accounting,1321-7348,2,ACCOUNT
Australian Accounting Review,1035-6908,2,ACCOUNT
China Journal of Accounting Research,1755-3091,2,ACCOUNT
Current Issues in Auditing,1936-1270,2,ACCOUNT
International Journal of Accounting and Information Management,1834-7649,2,ACCOUNT
International Journal of Accounting Information Systems,1467-0895,2,ACCOUNT
"International Journal of Accounting, Auditing and Performance Evaluation",1740-8008,2,ACCOUNT
International Journal of Auditing,1090-6738,2,ACCOUNT
International Journal of Disclosure and Governance,1741-3591,2,ACCOUNT
International Journal of Managerial and Financial Accounting,1753-6715,2,ACCOUNT
Journal of Accounting and Organizational Change,1832-5912,2,ACCOUNT
Journal of Accounting in Emerging Economies,2042-1168,2,ACCOUNT
Journal of Applied Accounting Research,0967-5426,2,ACCOUNT
Journal of Contemporary Accounting and Economics,1815-5669,2,ACCOUNT
Journal of Forensic Accounting Research,,2,ACCOUNT
Journal of International Accounting Research,1542-6297,2,ACCOUNT
Journal of International Financial Management and Accounting,0954-1314,2,ACCOUNT
Journal of Management Accounting Research,1049-2127,2,ACCOUNT
Journal of Management Control,2191-4761,2,ACCOUNT
"Journal of Public Budgeting, Accounting and Financial Management",1096-3367,2,ACCOUNT
Journal of Tax Administration,2059-190X,2,ACCOUNT
Managerial Auditing Journal,0268-6902,2,ACCOUNT
Qualitative Research in Accounting and Management,1176-6093,2,ACCOUNT
"Sustainability Accounting, Management and Policy Journal",2040-8021,2,ACCOUNT
"Accounting, Finance & Governance Review ",,1,ACCOUNT
Advances in Environmental Accounting and Management,1479-3598,1,ACCOUNT
Advances in Public Interest Accounting,1041-7060,1,ACCOUNT
"African Journal of Accounting, Auditing and Finance",2046-8083,1,ACCOUNT
Asian Journal of Accounting Research,2459-9700,1,ACCOUNT
ATA Journal of Legal Tax Research,1543-866X,1,ACCOUNT
"Australasian Accounting, Business and Finance Journal",1834-2000,1,ACCOUNT
China Journal of Accounting Studies,2169-7213,1,ACCOUNT
Comptabilite Controle Audit,1262-2788,1,ACCOUNT
EDPACS,0736-6981,1,ACCOUNT
International Journal of Critical Accounting,1757-9848,1,ACCOUNT
Journal of Accounting and Management Information Systems,1583-4387,1,ACCOUNT
Journal of Accounting and Taxation,,1,ACCOUNT
Journal of Forensic and Investigative Accounting (previously Journal of Forensic Accounting),,1,ACCOUNT
Journal of Governmental & Non-Profit Accounting,,1,ACCOUNT
Journal of Information Systems,0888-7985,1,ACCOUNT
Journal of Islamic Accounting and Business Research,1759-0817‎,1,ACCOUNT
Management Accounting Frontiers,2209-038X,1,ACCOUNT
Meditari Accountancy Research,2049-372X,1,ACCOUNT
Pacific Accounting Review,0114-0582,1,ACCOUNT
Research on Professional Responsibility and Ethics in Accounting,1574-0765,1,ACCOUNT
Revista Contabilidade & Finanças,,1,ACCOUNT
Revista de Contabilidad-Spanish Accounting Review,1138-4891,1,ACCOUNT
Revista Espanola de Financiacion y Contabilidad,0210-2412,1,ACCOUNT
Social and Environmental Accountability Journal,0969-160X,1,ACCOUNT
South African Journal of Accounting Research,1029-1954,1,ACCOUNT
World Tax Journal,1878-4917,1,ACCOUNT
Business History,0007-6791,4,BUS HIST & ECON HIST
Business History Review,0007-6805,4,BUS HIST & ECON HIST
Economic History Review,0013-0117,4,BUS HIST & ECON HIST
Enterprise and Society,1467-2227,3,BUS HIST & ECON HIST
European Review of Economic History,1361-4916,3,BUS HIST & ECON HIST
Explorations in Economic History,0014-4983,3,BUS HIST & ECON HIST
Journal of Economic History,0022-0507,3,BUS HIST & ECON HIST
Accounting Historians Journal,0148-4184,2,BUS HIST & ECON HIST
Accounting History,1032-3732,2,BUS HIST & ECON HIST
Accounting History Review,2155-2851,2,BUS HIST & ECON HIST
Australian Economic History Review,0004-8992,2,BUS HIST & ECON HIST
Cliometrica,1863-2505,2,BUS HIST & ECON HIST
Economic History of Developing Regions,2078-0389,2,BUS HIST & ECON HIST
Entreprises et Histoire,1161-2770,2,BUS HIST & ECON HIST
Essays in Economic and Business History,,2,BUS HIST & ECON HIST
European Journal of the History of Economic Thought,0967-2567,2,BUS HIST & ECON HIST
Financial History Review,0968-5650,2,BUS HIST & ECON HIST
Journal of the History of Economic Thought,1053-8372,2,BUS HIST & ECON HIST
Journal of Transport History,0022-5266,2,BUS HIST & ECON HIST
Labor History,0023-656X,2,BUS HIST & ECON HIST
Management and Organizational History,1744-9359,2,BUS HIST & ECON HIST
Historical Studies in Industrial Relations,1362-1572,1,BUS HIST & ECON HIST
Irish Economic and Social History,0332-4893,1,BUS HIST & ECON HIST
Journal of European Economic History,0391-5115,1,BUS HIST & ECON HIST
Journal of Historical Research in Marketing,1755-750X,1,BUS HIST & ECON HIST
Journal of Management History,1751-1348,1,BUS HIST & ECON HIST
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,0212-6109,1,BUS HIST & ECON HIST
Scandinavian Economic History Review,0358-5522,1,BUS HIST & ECON HIST
Zeitschrift für Unternehmensgeschichte,0342-2852,1,BUS HIST & ECON HIST
American Economic Review,0002-8282,4*,ECON
Annals of Statistics,0090-5364,4*,ECON
Econometrica,0012-9682,4*,ECON
Journal of Political Economy,0022-3808,4*,ECON
Quarterly Journal of Economics,0033-5533,4*,ECON
Review of Economic Studies,0034-6527,4*,ECON
American Economic Journal: Applied Economics,1945-7782,4,ECON
American Economic Journal: Macroeconomics,1945-7707,4,ECON
Biometrika,0006-3444,4,ECON
Econometric Theory,0266-4666,4,ECON
Economic Journal,0013-0133,4,ECON
International Economic Review,0020-6598,4,ECON
Journal of Business and Economic Statistics,0735-0015,4,ECON
Journal of Econometrics,0304-4076,4,ECON
Journal of Economic Literature,0022-0515,4,ECON
Journal of Economic Perspectives,0895-3309,4,ECON
Journal of Economic Theory,0022-0531,4,ECON
Journal of International Economics,0022-1996,4,ECON
Journal of Labor Economics,0734-306X,4,ECON
Journal of Monetary Economics,0304-3932,4,ECON
Journal of the American Statistical Association,0162-1459,4,ECON
Journal of the European Economic Association,1542-4774,4,ECON
Journal of the Royal Statistical Society. Series B: Statistical Methodology,1369-7412,4,ECON
Quantitative Economics,1759-7323,4,ECON
RAND Journal of Economics,0741-6261,4,ECON
Review of Economics and Statistics,0034-6535,4,ECON
Theoretical Economics,1933-6837,4,ECON
American Economic Journal: Economic Policy,1945-7731,3,ECON
American Economic Journal: Microeconomics,1945-7669,3,ECON
American Economic Review: Insights,2640-205X ,3,ECON
American Journal of Agricultural Economics,0002-9092,3,ECON
Annual Review of Economics,1941-1383,3,ECON
Brookings Papers on Economic Activity,0007-2303,3,ECON
Cambridge Journal of Economics,0309-166X,3,ECON
Canadian Journal of Economics,0008-4085,3,ECON
Computational Statistics and Data Analysis,0167-9473,3,ECON
Ecological Economics,0921-8009,3,ECON
Econometric Reviews,0747-4938,3,ECON
Econometrics Journal,1368-4221,3,ECON
Economic Development and Cultural Change,0013-0079,3,ECON
Economic Inquiry,0095-2583,3,ECON
Economic Policy,0266-4658,3,ECON
Economic Theory,0938-2259,3,ECON
Economica,0013-0427,3,ECON
Economics Letters,0165-1765,3,ECON
Energy Economics,0140-9883,3,ECON
Environmental and Resource Economics,0924-6460,3,ECON
European Economic Review,0014-2921,3,ECON
European Review of Agricultural Economics,0165-1587,3,ECON
Experimental Economics,1386-4157,3,ECON
Games and Economic Behavior,0899-8256,3,ECON
Health Economics (United Kingdom),1057-9230,3,ECON
IMF Economic Review,2041-4161,3,ECON
International Journal of Industrial Organization,0167-7187,3,ECON
International Statistical Review,0306-7734,3,ECON
Journal of Agricultural Economics,0021-857X,3,ECON
Journal of Applied Econometrics,0883-7252,3,ECON
Journal of Comparative Economics,0147-5967,3,ECON
Journal of Computational and Graphical Statistics,1061-8600,3,ECON
Journal of Development Economics,0304-3878,3,ECON
Journal of Economic Behavior and Organization,0167-2681,3,ECON
Journal of Economic Dynamics and Control,0165-1889,3,ECON
Journal of Economic Growth,1381-4338,3,ECON
Journal of Environmental Economics and Management,0095-0696,3,ECON
Journal of Health Economics,0167-6296,3,ECON
Journal of Human Capital,1932-8575,3,ECON
Journal of Human Resources,0022-166X,3,ECON
Journal of Industrial Economics,0022-1821,3,ECON
Journal of Institutional Economics,1744-1374,3,ECON
Journal of Law and Economics,0022-2186,3,ECON
"Journal of Law, Economics, and Organization",8756-6222,3,ECON
Journal of Legal Studies,0047-2530,3,ECON
Journal of Mathematical Economics,0304-4068,3,ECON
Journal of Multivariate Analysis,0047-259X,3,ECON
Journal of Population Economics,0933-1433,3,ECON
Journal of Public Economics,0047-2727,3,ECON
Journal of Risk and Uncertainty,0895-5646,3,ECON
Journal of the Association of Environmental and Resource Economists,2333-5955,3,ECON
Journal of the Royal Statistical Society. Series A: Statistics in Society,0964-1998,3,ECON
Journal of the Royal Statistical Society. Series C: Applied Statistics,0035-9254,3,ECON
Journal of Time Series Analysis,0143-9782,3,ECON
Journal of Urban Economics,0094-1190,3,ECON
Labour Economics,0927-5371,3,ECON
Land Economics,0023-7639,3,ECON
Oxford Bulletin of Economics and Statistics,0305-9049,3,ECON
Oxford Economic Papers,0030-7653,3,ECON
Public Choice,0048-5829,3,ECON
Real Estate Economics,1080-8620,3,ECON
Review of Economic Dynamics,1094-2025,3,ECON
Review of Income and Wealth,0034-6586,3,ECON
Scandinavian Journal of Economics,0347-0520,3,ECON
Scandinavian Journal of Statistics,0303-6898,3,ECON
Social Choice and Welfare,0176-1714,3,ECON
World Bank Economic Review,0258-6770,3,ECON
Advances in Econometrics,0731-9053,2,ECON
Agricultural Economics (United Kingdom),0169-5150,2,ECON
American Journal of Health Economics,2332-3493,2,ECON
American Law and Economics Review,1465-7252,2,ECON
Annals of Applied Statistics,1932-6157,2,ECON
Annals of Economics and Finance,1529-7373,2,ECON
Annals of Public and Cooperative Economics,1370-4788,2,ECON
Annual Review of Resource Economics,1941-1340,2,ECON
Applied Economic Perspectives and Policy,2040-5790,2,ECON
Applied Economics,0003-6846,2,ECON
Australian Journal of Agricultural and Resource Economics,1364-985X,2,ECON
B.E. Journal of Economic Analysis and Policy,2194-6108,2,ECON
B.E. Journal of Macroeconomics,,2,ECON
B.E. Journal of Theoretical Economics,2194-6124,2,ECON
Bulletin of Economic Research,0307-3378,2,ECON
Canadian Journal of Agricultural Economics,0008-3976,2,ECON
CESifo Economic Studies,1610-241X,2,ECON
China Economic Review,1043-951X,2,ECON
Computational Statistics,0943-4062,2,ECON
Contemporary Economic Policy,1074-3529,2,ECON
Contributions to Political Economy,0277-5921,2,ECON
Defence and Peace Economics,1024-2694,2,ECON
Econ Journal Watch,1933-527X,2,ECON
Economic Modelling,0264-9993,2,ECON
Economic Record,0013-0249,2,ECON
Economic Systems,0939-3625,2,ECON
Economic Systems Research,0953-5314,2,ECON
Economic Theory Bulletin,,2,ECON
Economics and Human Biology,1570-677X,2,ECON
Economics and Philosophy,0266-2671,2,ECON
Economics and Politics,0954-1985,2,ECON
Economics of Education Review,0272-7757,2,ECON
Economics of Innovation and New Technology,1043-8599,2,ECON
Economics of Transition and Institutional Change,2577-6975,2,ECON
Empirical Economics,0377-7332,2,ECON
Environment and Development Economics,1355-770X,2,ECON
European Journal of Health Economics,1618-7598,2,ECON
European Journal of Political Economy,0176-2680,2,ECON
Fiscal Studies,0143-5671,2,ECON
GENEVA Risk and Insurance Review,1554-964X,2,ECON
German Economic Review,1465-6485,2,ECON
History of Political Economy,0018-2702,2,ECON
Information Economics and Policy,0167-6245,2,ECON
International Journal of Economic Theory,1742-7355,2,ECON
International Journal of Game Theory,0020-7276,2,ECON
International Journal of Health Economics and Management,2199-9023,2,ECON
International Journal of the Economics of Business,1357-1516,2,ECON
International Review of Economics and Finance,1059-0560,2,ECON
International Review of Environmental and Resource Economics,1932-1465,2,ECON
International Review of Law and Economics,0144-8188,2,ECON
Journal of African Economies,0963-8024,2,ECON
Journal of Agrarian Change,1471-0358,2,ECON
Journal of Agricultural and Resource Economics,1068-5502,2,ECON
Journal of Applied Probability,0021-9002,2,ECON
Journal of Applied Statistics,0266-4763,2,ECON
Journal of Behavioral and Experimental Economics,2214-8043,2,ECON
Journal of Business Economics,0044-2372,2,ECON
Journal of Cultural Economics,0885-2545,2,ECON
Journal of Economic Inequality,1569-1721,2,ECON
Journal of Economic Issues,0021-3624,2,ECON
Journal of Economic Methodology,1350-178X,2,ECON
Journal of Economic Studies,0144-3585,2,ECON
Journal of Economic Surveys,0950-0804,2,ECON
Journal of Economics/ Zeitschrift fur Nationalokonomie,0931-8658,2,ECON
Journal of Evolutionary Economics,0936-9937,2,ECON
Journal of Family and Economic Issues,1058-0476,2,ECON
Journal of Forest Economics,1104-6899,2,ECON
Journal of Housing Economics,1051-1377,2,ECON
"Journal of Industry, Competition and Trade",1566-1679,2,ECON
Journal of Institutional and Theoretical Economics,0932-4569,2,ECON
Journal of International Development,0954-1748,2,ECON
Journal of Macroeconomics,0164-0704,2,ECON
Journal of Nonparametric Statistics,1048-5252,2,ECON
Journal of Policy Modeling,0161-8938,2,ECON
Journal of Post Keynesian Economics,0160-3477,2,ECON
Journal of Productivity Analysis,0895-562X,2,ECON
Journal of Public Economic Theory,1467-9779,2,ECON
Journal of Regulatory Economics,0922-680X,2,ECON
Journal of Statistical Planning and Inference,0378-3758,2,ECON
Journal of the Economics of Ageing,2212-828X,2,ECON
Journal of the Japanese and International Economies,0889-1583,2,ECON
Journal of Time Series Econometrics,2194-6507,2,ECON
Macroeconomic Dynamics,1365-1005,2,ECON
Managerial and Decision Economics,0143-6570,2,ECON
Manchester School,1463-6786,2,ECON
Mathematical Social Sciences,0165-4896,2,ECON
National Tax Journal,0028-0283,2,ECON
Networks and Spatial Economics,1566-113X,2,ECON
North American Journal of Economics and Finance,1062-9408,2,ECON
Open Economies Review,0923-7992,2,ECON
Oxford Development Studies,1360-0818,2,ECON
Oxford Review of Economic Policy,0266-903X,2,ECON
Pacific Economic Review,1361-374X,2,ECON
PharmacoEconomics,1170-7690,2,ECON
Quarterly Review of Economics and Finance,1062-9769,2,ECON
Rationality and Society,1043-4631,2,ECON
Resource and Energy Economics,0928-7655,2,ECON
Resources Policy,0301-4207,2,ECON
Review of Behavioral Economics,2326-6198,2,ECON
Review of Development Economics,1363-6669,2,ECON
Review of Economic Design,1434-4742,2,ECON
Review of Economics of the Household,1569-5239,2,ECON
Review of Environmental Economics and Policy,1750-6816,2,ECON
Review of Industrial Organization,0889-938X,2,ECON
Review of International Economics,0965-7576,2,ECON
Review of Law and Economics,1555-5879,2,ECON
Review of Network Economics,2194-5993,2,ECON
Review of Political Economy,0953-8259,2,ECON
Review of World Economics,1610-2878,2,ECON
Scottish Journal of Political Economy,0036-9292,2,ECON
Southern Economic Journal,0038-4038,2,ECON
Spatial Economic Analysis,1742-1772,2,ECON
Stata Journal,1536-867X,2,ECON
Statistics and Probability Letters,0167-7152,2,ECON
Studies in Nonlinear Dynamics and Econometrics,1081-1826,2,ECON
World Bank Research Observer,0257-3032,2,ECON
World Economy,0378-5920,2,ECON
Advances in Austrian Economics,1529-2134,1,ECON
Advances in Decision Sciences,2090-3359,1,ECON
